virtue,pole,candidate,corpus_frequency,attested,verdict,verifier_note,example_1,example_2,example_3
prudence,affirming,belát,9,True,,,"amelyet önök közül sokan mindmáig nem képesek **belátni** , és amire újra csak újra tagadással","Könnyű **belátni** , hogy érdemi joghátrányt szenved egy olyan","Könnyű **belátni** , hogy ez tarthatatlan állapot és a"
prudence,affirming,belátás,7,True,,,Én a legjobb **belátásommal** és ‑ hogy mondjam ‑ a minisztérium,"legyen helye tiszteletnek , emberségnek és józan **belátásnak** .","De legalább akkor gyakoroljon annyi **belátást** , hogy legalább valamilyen kompromisszumos javaslatot fogadjon"
prudence,affirming,bölcs,22,True,,,"a miniszter úr időben tud reagálni , **bölcs** döntést tud hozni , és ehhez a","Ugyanis nagyon **bölcsen** felismerték , hogy ezek a területek kritikus","Ő döntött egyedül **bölcsen** , a miniszterelnökük meg hazudott , mint"
prudence,affirming,bölcsesség,14,True,,,"sem ideológiai kérdések , önök pedig teljes **bölcsességük** tudatában , ön ugyanúgy , frakcióvezető úr","ránk erőltetni legalábbis nem tűnik túl nagy **bölcsességnek** , de egyébként azt kívánom , hogy","itt tartunk , régi mondás , régi **bölcsesség** a politikában , tisztelt képviselőtársaim , hogy"
prudence,affirming,előrelátás,0,False,,,,,
prudence,affirming,előrelátó,2,True,,,"el , az történt , hogy olyan **előrelátó** és tudatos az önök törvényalkotása , hogy","Ez egy **előrelátó** döntés , felelős döntés , és ami",
prudence,affirming,higgadt,2,True,,,"egy olyan terület , ahol megfontolt és **higgadt** párbeszédre van szükség .","érti a kimondott szó súlyát , képes **higgadtan** mérlegelni , meghallgatja az eltérő véleményeket ,",
prudence,affirming,higgadtság,5,True,,,Először is **higgadtság** .,"elnök intézménye ismét a bizalom , a **higgadtság** , a nyugalom és a nemzeti összetartozás","Tehát a **higgadtság** , higgyék el , segíti a jó"
prudence,affirming,józan,24,True,,,"Láttam , hogy milyen a **józan** ésszel értelmezhetetlen adminisztratív keretek között dolgozni ,","radikálisan mérsékeltek leszünk , és szélsőségesen a **józan** észre fogunk támaszkodni .","Azért ez **józan** paraszti ésszel is elég hihetetlen , nem"
prudence,affirming,józanság,6,True,,,"el is fogadják ezt , akkor is **józanságot** , higgadtságot szeretnék kérni , tárgyalást .",Ez mutatta egyébként az akkori társadalom **józanságát** is .,"A haza szolgálatához leginkább alázatra , **józanságra** és valós tapasztalatokra van szükség ."
