stratum,uid,file,n_words,truncated,bertopic_topic,bertopic_label,cap_truncated,cap_confidence,cap_chunked,topic_dominant_cap,topic_purity,correct_cap,closer_method,annotator_confidence,notes
agreement,43005-147,samples/agreement/43005-147.md,304,True,6,Rail and public transport,Transportation,0.9483,Transportation,Transportation,0.9273,,,,
agreement,43009-102,samples/agreement/43009-102.md,1337,True,21,"Tax system, budget revenue and housing policy",Macroeconomics,0.9922,Macroeconomics,Macroeconomics,0.7059,,,,
agreement,43010-113,samples/agreement/43010-113.md,311,True,6,Rail and public transport,Transportation,0.9887,Transportation,Transportation,0.9273,,,,
agreement,43012-156,samples/agreement/43012-156.md,136,False,6,Rail and public transport,Transportation,0.9947,Transportation,Transportation,0.9273,,,,
agreement,43012-172,samples/agreement/43012-172.md,247,False,9,"Agriculture, the chamber of agriculture and drought",Agriculture,0.9902,Agriculture,Agriculture,0.9556,,,,
agreement,43012-69,samples/agreement/43012-69.md,416,True,10,Local government and small municipalities,Government Operations,0.9951,Government Operations,Government Operations,0.7273,,,,
agreement,43015-267,samples/agreement/43015-267.md,645,True,9,"Agriculture, the chamber of agriculture and drought",Agriculture,0.9935,Agriculture,Agriculture,0.9556,,,,
agreement,43015-283,samples/agreement/43015-283.md,15,False,12,Short procedural and technical remarks,Other,0.9972,Other,Other,0.7297,,,,
agreement,43016-48,samples/agreement/43016-48.md,593,True,6,Rail and public transport,Transportation,0.9947,Transportation,Transportation,0.9273,,,,
agreement,43017-194,samples/agreement/43017-194.md,160,False,3,Healthcare and pharmaceutical provision,Health,0.9963,Health,Health,0.831,,,,
agreement,43018-218,samples/agreement/43018-218.md,1065,True,6,Rail and public transport,Transportation,0.9945,Transportation,Transportation,0.9273,,,,
agreement,43019-42,samples/agreement/43019-42.md,612,True,6,Rail and public transport,Transportation,0.9896,Transportation,Transportation,0.9273,,,,
cross_method_disagreement,43003-145,samples/cross_method_disagreement/43003-145.md,84,False,12,Short procedural and technical remarks,Defense,0.9927,Defense,Other,0.7297,,,,
cross_method_disagreement,43003-172,samples/cross_method_disagreement/43003-172.md,254,False,10,Local government and small municipalities,Macroeconomics,0.9962,Macroeconomics,Government Operations,0.7273,,,,
cross_method_disagreement,43005-205,samples/cross_method_disagreement/43005-205.md,853,True,10,Local government and small municipalities,Macroeconomics,0.9754,Mix,Government Operations,0.7273,,,,
cross_method_disagreement,43007-65,samples/cross_method_disagreement/43007-65.md,989,True,10,Local government and small municipalities,Housing,0.9914,Housing,Government Operations,0.7273,,,,
cross_method_disagreement,43010-59,samples/cross_method_disagreement/43010-59.md,472,True,3,Healthcare and pharmaceutical provision,Civil Rights,0.9828,Mix,Health,0.831,,,,
cross_method_disagreement,43011-113,samples/cross_method_disagreement/43011-113.md,43,False,10,Local government and small municipalities,Other,0.9917,Other,Government Operations,0.7273,,,,
cross_method_disagreement,43012-182,samples/cross_method_disagreement/43012-182.md,190,False,9,"Agriculture, the chamber of agriculture and drought",Environment,0.7885,Environment,Agriculture,0.9556,,,,
cross_method_disagreement,43012-80,samples/cross_method_disagreement/43012-80.md,136,False,3,Healthcare and pharmaceutical provision,Agriculture,0.8926,Agriculture,Health,0.831,,,,
cross_method_disagreement,43014-16,samples/cross_method_disagreement/43014-16.md,600,True,3,Healthcare and pharmaceutical provision,Civil Rights,0.8333,Civil Rights,Health,0.831,,,,
cross_method_disagreement,43014-182,samples/cross_method_disagreement/43014-182.md,271,False,10,Local government and small municipalities,Housing,0.612,Housing,Government Operations,0.7273,,,,
cross_method_disagreement,43017-196,samples/cross_method_disagreement/43017-196.md,246,False,3,Healthcare and pharmaceutical provision,Civil Rights,0.7991,Civil Rights,Health,0.831,,,,
cross_method_disagreement,43018-124,samples/cross_method_disagreement/43018-124.md,244,False,6,Rail and public transport,Public Lands,0.7216,Public Lands,Transportation,0.9273,,,,
low_purity_topic,43004-28,samples/low_purity_topic/43004-28.md,111,False,7,The migration pact and relations with the European Union,International Affairs,0.9275,International Affairs,Immigration,0.3455,,,,
low_purity_topic,43006-18,samples/low_purity_topic/43006-18.md,618,True,7,The migration pact and relations with the European Union,International Affairs,0.9673,Mix,Immigration,0.3455,,,,
low_purity_topic,43008-29,samples/low_purity_topic/43008-29.md,709,True,7,The migration pact and relations with the European Union,Immigration,0.9921,Immigration,Immigration,0.3455,,,,
low_purity_topic,43009-43,samples/low_purity_topic/43009-43.md,1000,True,7,The migration pact and relations with the European Union,International Affairs,0.9874,Mix,Immigration,0.3455,,,,
low_purity_topic,43010-140,samples/low_purity_topic/43010-140.md,229,False,1,"Premiership, head of state and party-political conflict",Environment,0.9885,Environment,Government Operations,0.3087,,,,
low_purity_topic,43011-14,samples/low_purity_topic/43011-14.md,769,True,22,Asset recovery and the 'mafia' framing of corruption,Government Operations,0.9504,Macroeconomics,Government Operations,0.3846,,,,
low_purity_topic,43011-23,samples/low_purity_topic/43011-23.md,542,True,1,"Premiership, head of state and party-political conflict",Mix,0.5698,Mix,Government Operations,0.3087,,,,
low_purity_topic,43014-172,samples/low_purity_topic/43014-172.md,289,True,4,"Immunity cases, committees of inquiry and archival access",Civil Rights,0.7027,Mix,Government Operations,0.25,,,,
low_purity_topic,43015-143,samples/low_purity_topic/43015-143.md,1182,True,13,"Fundamental Law, constitutional guarantees and national assets",Government Operations,0.732,Mix,Civil Rights,0.3103,,,,
low_purity_topic,43017-128,samples/low_purity_topic/43017-128.md,1435,True,4,"Immunity cases, committees of inquiry and archival access",Government Operations,0.9913,Government Operations,Government Operations,0.25,,,,
low_purity_topic,43019-129,samples/low_purity_topic/43019-129.md,128,False,1,"Premiership, head of state and party-political conflict",Civil Rights,0.6845,Civil Rights,Government Operations,0.3087,,,,
low_purity_topic,43019-6,samples/low_purity_topic/43019-6.md,1219,True,5,"National remembrance, anniversaries and ceremonial speeches",Mix,0.4457,Mix,Mix,0.2727,,,,
mix,43005-221,samples/mix/43005-221.md,895,True,-1,Unclustered residue,Mix,0.4708,Mix,Government Operations,,,,,
mix,43007-61,samples/mix/43007-61.md,519,True,4,"Immunity cases, committees of inquiry and archival access",Mix,0.5364,Mix,Government Operations,0.25,,,,
mix,43009-221,samples/mix/43009-221.md,202,False,-1,Unclustered residue,Mix,0.5548,Mix,Government Operations,,,,,
mix,43010-18,samples/mix/43010-18.md,641,True,1,"Premiership, head of state and party-political conflict",Mix,0.4951,Civil Rights,Government Operations,0.3087,,,,
mix,43012-216,samples/mix/43012-216.md,156,False,1,"Premiership, head of state and party-political conflict",Mix,0.47,Mix,Government Operations,0.3087,,,,
mix,43013-117,samples/mix/43013-117.md,552,True,-1,Unclustered residue,Mix,0.5036,Mix,Government Operations,,,,,
mix,43014-120,samples/mix/43014-120.md,250,False,19,"Fiscal Council, public debt and windfall taxes",Mix,0.515,Mix,Macroeconomics,0.8235,,,,
mix,43014-144,samples/mix/43014-144.md,263,False,5,"National remembrance, anniversaries and ceremonial speeches",Mix,0.5703,Mix,Mix,0.2727,,,,
mix,43014-187,samples/mix/43014-187.md,534,True,2,Legislative procedure and the committee stage,Mix,0.5489,Government Operations,Government Operations,0.5325,,,,
mix,43014-203,samples/mix/43014-203.md,448,True,-1,Unclustered residue,Mix,0.4152,Mix,Government Operations,,,,,
mix,43018-10,samples/mix/43018-10.md,797,True,1,"Premiership, head of state and party-political conflict",Mix,0.5958,Mix,Government Operations,0.3087,,,,
